project_slug,status,jdk_version,mvn_version,gradle_version,use_gradlew
spring-projects__spring-security_CVE-2011-2732_2.0.6.RELEASE,success,8,3.5.0,,
apache__activemq_CVE-2014-3576_5.10.2,success,8,3.5.0,,
xwiki__xwiki-rendering_CVE-2023-37908_14.10.3,success,17,3.5.0,,
apache__struts_CVE-2020-17530_2.5.25,success,8,3.5.0,,
xerial__sqlite-jdbc_CVE-2023-32697_3.41.2.1,success,17,3.5.0,,
apache__rocketmq_CVE-2023-37582_4.9.6,success,8,3.5.0,,
ff4j__ff4j_CVE-2022-44262_1.8.13,success,8,3.5.0,,
SpringSource__spring-security-oauth_CVE-2018-1260_2.3.2.RELEASE,success,8,3.5.0,,
apache__activemq_CVE-2019-0222_5.15.8,success,8,3.5.0,,
apache__rocketmq_CVE-2023-33246_5.1.0,success,8,3.5.0,,
apache__activemq_CVE-2020-11998_5.15.12,success,8,3.5.0,,
spring-cloud__spring-cloud-gateway_CVE-2022-22947_3.0.6,success,8,3.5.0,,
hapifhir__org.hl7.fhir.core_CVE-2023-24057_5.6.91,success,17,3.5.0,,
eclipse-ee4j__glassfish_CVE-2022-2712_6.2.5,success,17,3.9.8,,
eclipse__hawkbit_CVE-2020-27219_0.3.0M6,success,8,3.5.0,,
hapifhir__org.hl7.fhir.core_CVE-2023-28465_5.6.105,success,17,3.5.0,,
asf__karaf_CVE-2022-22932_4.3.5,success,8,3.5.0,,
keycloak__keycloak_CVE-2022-3782_20.0.1,success,17,3.9.8,,
apache__incubator-dubbo_CVE-2021-30181_2.6.8,success,8,3.5.0,,
aws__aws-sdk-java_CVE-2022-31159_1.12.260,success,8,3.5.0,,
asf__cxf_CVE-2016-6812_3.0.11,success,8,3.5.0,,
keycloak__keycloak_CVE-2022-1274_20.0.4,success,17,3.9.8,,
keycloak__keycloak_CVE-2022-4137_20.0.4,success,17,3.9.8,,
asf__cxf_CVE-2019-17573_3.2.11,success,8,3.5.0,,
Graylog2__graylog2-server_CVE-2023-41044_5.1.2,success,17,3.5.0,,
apache__dubbo_CVE-2021-30180_2.7.9,success,8,3.5.0,,
codecentric__spring-boot-admin_CVE-2022-46166_2.6.9,success,17,3.9.8,,
payara__Payara_CVE-2022-37422_5.2022.2,success,8,3.9.8,,
fabric8io__kubernetes-client_CVE-2021-4178_5.0.2,success,8,3.5.0,,
apache__dolphinscheduler_CVE-2023-49109_3.2.0,success,8,3.5.0,,
apache__dolphinscheduler_CVE-2023-51770_3.2.0,success,8,3.5.0,,
keycloak__keycloak_CVE-2022-4361_21.1.1,success,17,3.9.8,,
apache__flink_CVE-2020-17519_1.11.2,success,8,3.5.0,,
apache__camel_CVE-2019-0194_2.21.4,success,8,3.5.0,,
asf__nifi_CVE-2023-34468_1.21.0,success,17,3.9.8,,
asf__nifi_CVE-2023-36542_1.22.0,success,17,3.9.8,,
apache__nifi_CVE-2022-33140_1.16.2,success,17,3.9.8,,
apache__dolphinscheduler_CVE-2022-34662_2.0.9,success,8,3.5.0,,
apache__camel_CVE-2018-8041_2.20.3,success,8,3.5.0,,
jeecgboot__jeecgboot_CVE-2022-45206_3.4.3,success,8,3.5.0,,
folio-org__spring-module-core_CVE-2022-4963_2.0.0,success,17,3.5.0,,
apache__kylin_CVE-2024-48944_5.0.0,success,8,3.5.0,,
apache__axis-axis1-java_CVE-2023-51441_1.3.0,success,8,3.5.0,,
apache__kafka_CVE-2025-27818_3.9.0,success,8,,,1.0
crate__crate_5.5.1_CVE-2023-51982_5.5.1,success,17,3.9.8,,
mapfish__mapfish-print_CVE-2020-15231_3.22.0,success,8,,,1.0
keycloak_CVE-2025-7784_26.2.5,success,17,3.8.7,,no
keycloak_CVE-2025-7365_26.0.12,success,17,3.8.7,,no
opencast_CVE-2025-54380_17.5,success,17,3.9.4,,no
jena_CVE-2025-49656_jena-5.4.0,success,17,3.9.2,,no
reactor-netty_CVE-2025-22227_v1.2.8,success,8,3.6.3,,no
DSpace_CVE-2025-53622_dspace-7.6.3,success,17,3.8.7,,no
DSpace_CVE-2025-53621_dspace-7.6.3,success,17,3.8.1,,no
cxf_CVE-2025-48795_cxf-3.5.10,success,17,3.6.3,,no
jackrabbit_CVE-2025-53689_jackrabbit-2.23.1-beta,success,11,3.6.3,,no
tomcat_CVE-2025-53506_11.0.8,failure (Ant),11,,,no
tomcat_CVE-2025-52520_11.0.8,failure (Ant),11,,,no
junit-framework_CVE-2025-53103_r5.13.1,success,24,,9.0.0-rc-3,yes
graylog2-server_CVE-2025-53106_6.2.3,success,17,3.9.10,,no
conductor_CVE-2025-26074_v3.21.12,success,17,,8.5,yes
jans_CVE-2025-53003_v1.7.0,failure (Cannot build entire repo; contains several seperate projects),11,3.8.7,,no
incubator-seata_CVE-2025-32897_v2.2.0,success,8,3.9.11,,no
allure2_CVE-2025-52888_2.34.0,success,21,,8.5,yes
quarkus_CVE-2025-49574_3.23.4,success,17,3.9.9,,no
studio_CVE-2025-6384_v4.2.2,failure (repo is a subproject),11,3.6.3,,no
powsybl-core_CVE-2025-48059_v6.2.4,success,17,3.8.7,,no
powsybl-core_CVE-2025-48058_v6.7.1,success,17,3.8.1,,no
powsybl-core_CVE-2025-47771_v6.7.1,success,17,3.8.1,,no
powsybl-core_CVE-2025-47293_v6.7.1,success,17,3.8.1,,no
tomcat_CVE-2025-49125_11.0.7,failure (Ant),11,,,no
tomcat_CVE-2025-48988_11.0.7,failure (Ant),11,,,no
commons-fileupload_CVE-2025-48976_commons-fileupload-1.5-RC1,success,11,3.6.3,,no
solon_CVE-2025-46096_v3.1.2,success,17,3.9.10,,no
spring-framework_CVE-2025-41234_v6.2.7,success (Kotlin),24,,8.14.3,yes
geoserver_CVE-2025-30145_2.26.2,success,17,3.8.7,,no
geoserver_CVE-2025-27505_2.26.2,success,17,3.8.7,,no
para_CVE-2025-49009_v1.50.7,success,21,3.9.10,,no
inlong_CVE-2025-27531_2.0.0-RC0,success,8,3.6.1,,no
akka-management_CVE-2025-46548_v1.6.0-M1,failure (Cannot build entire repo; contains several seperate projects),8,3.6.3,,no
para_CVE-2025-48955_v1.50.7,success,21,3.9.10,,no
commons-beanutils_CVE-2025-48734_commons-beanutils-1.10.1-RC1,success,8,3.6.3,,no
valtimo-backend-libraries_CVE-2025-48881_12.12.0.RELEASE,success,21,,8.14,yes
inlong_CVE-2025-27526_2.1.0-RC0,success,8,3.6.1,,no
inlong_CVE-2025-27528_2.1.0-RC0,success,8,3.6.1,,no
inlong_CVE-2025-27522_2.1.0-RC0,success,8,3.6.1,,no
spring-framework_CVE-2025-22233_v6.2.6,success (Kotlin),24,,8.14.3,yes
cloudbees-jenkins-advisor-plugin_CVE-2025-47885_374.v194b_d4f0c8c8,success,17,3.8.6,,no
webdrivermanager_CVE-2025-4641_webdrivermanager-6.0.1,success,17,3.9.11,,no
iotdb_CVE-2025-26795_v1.3.3,success,8,3.9.11,,no
iotdb_CVE-2025-26864_v1.3.3,success,8,3.9.11,,no
jetty.project_CVE-2025-1948_jetty-12.0.16,success,17,3.9.11,,no
console_CVE-2025-2901_v3.7.10,success,11,3.8.5,,no
keycloak_CVE-2025-3910_26.2.1,success,17,3.8.7,,no
keycloak_CVE-2025-3501_26.2.1,success,17,3.8.7,,no
syntax-markdown_CVE-2025-46558_syntax-markdown-8.8,success,11,3.6.3,,no
jpawebapi_CVE-2025-32961_v1.1.0,success,11,,5.6.4,yes
restapi_CVE-2025-32960_v7.2.6,success,11,,5.4.1,yes
cuba_CVE-2025-32959_7.2.22,success,11,,5.6.4,yes
templating-engine-plugin_CVE-2025-31722_2.5.3,success,17,,8.2,yes
jenkins_CVE-2025-31721_prototype-1.7,success,17,3.8.6,,no
jenkins_CVE-2025-31720_prototype-1.7,success,17,3.8.6,,no
simple-queue-plugin_CVE-2025-31723_simple-queue-1.4.6,success,11,3.6.3,,no
camel_CVE-2025-30177_camel-4.10.2,success,17,3.8.6,,no
activemq-artemis_CVE-2025-27427_2.39.0,success,17,3.9.9,,no
netty-incubator-codec-quic_CVE-2025-29908_netty-incubator-codec-parent-quic-0.0.70.Final,success,8,3.9.6,,no
kylin_CVE-2025-30067_kylin-5.0.1,success,8,3.9.11,,no
spring-security_CVE-2025-22223_6.4.3,success,17,,8.14,yes
druid_CVE-2025-27888_druid-31.0.1-rc2,success,17,3.8.1,,no
spring-security_CVE-2025-22228_6.3.7,success,17,,8.14,yes
zohoqengine-plugin_CVE-2025-30197_1.0.29.vfa_cc23396502,success,17,3.8.7,,no
snowflake-jdbc_CVE-2025-27496_v3.23.0,success,8,3.9.11,,no
smallrye-fault-tolerance_CVE-2025-2240_6.4.1,success,11,3.9.11,,no
keycloak_CVE-2025-1391_26.1.2,success,17,3.8.7,,no
keycloak_CVE-2025-0604_26.1.2,success,17,3.8.7,,no
tomcat_CVE-2025-24813_11.0.2,failure (Ant),11,,,no
local-s3_CVE-2025-27136_1.20,success,17,,7.5,yes
emissary_CVE-2025-27508_8.23.0,success,11,3.6.3,,no
OpenDJ_CVE-2025-27497_4.9.2,success,8,3.6.3,,no
solon_CVE-2025-1584_v3.0.8,success,17,3.9.10,,no
cassandra-lucene-index_CVE-2025-26511_cassandra-4.0.16-1.0.0,success,8,3.6.3,,no
netty_CVE-2025-25193_netty-4.1.117.Final,success,8,3.9.11,,no
netty_CVE-2025-24970_netty-4.1.117.Final,success,8,3.9.11,,no
felix-dev_CVE-2025-25247_org.osgi.compendium-1.4.0,failure (pom.xml not in root),8,3.6.3,,
cassandra_CVE-2025-23015_cassandra-5.0-alpha2,failure (No pom),8,3.8.7,,no
s3proxy_CVE-2025-24961_s3proxy-2.5.0,success,11,3.6.3,,no
wildfly-core_CVE-2025-23367_27.0.0.Beta7,success,17,3.6.3,,no
djl_CVE-2025-0851_v0.30.0,success,17,,8.13,yes
snowflake-jdbc_CVE-2025-24790_v3.21.1,success,8,3.9.11,,no
snowflake-jdbc_CVE-2025-24789_v3.21.1,success,8,3.9.11,,no
oic-auth-plugin_CVE-2025-24399_4.452.v2849b_d3945fa_,success,17,3.9.11,,no
cxf_CVE-2025-23184_cxf-3.5.9,success,17,3.8.1,,no
jte_CVE-2025-23026_3.1.15,success,17,3.9.5,,no
